"direccion","cumple","tlf","estado","bban","bankCountry","iban","compania","credit_card_expire","credit_card_number","credit_card_security_code","job","name"
"Urbanización de Cristian Morera 417
Guadalajara, 08725","1923-05-20","+34550517235","Valladolid","VYOG3579443433297","GB","GB58OOJQ8815358944847","Vargas Group","04/20","4883238396174027673","030","Facilities manager","Manuel Moreno Prado"
"Vial de Pilar Álvarez 40 Puerta 1 
Girona, 10413","1967-10-31","+34312143174","Guadalajara","MCWR7180566653217","GB","GB14JOJE6211396009094","Ramón Inc","04/26","5290528910374345","526","Surveyor, land/geomatics","Pilar Sanmartín-Molins"
"Paseo de Mercedes Crespo 44 Apt. 39 
Santa Cruz de Tenerife, 95108","1973-07-05","+34 066 245 669","Asturias","SIQV6001426616902","GB","GB59TMPY6152532278233","Agullo-Madrid","09/26","561436221536","652","Editorial assistant","Ricardo Chico Falcó"
"Cañada de Miriam Viña 31
Murcia, 13744","1982-07-22","+34 355 756 940","Ávila","DHWW3330580366001","GB","GB75JONF3372845551499","Quesada LLC","11/26","4814593564466938","618","Fisheries officer","Jose Manuel Puerta Castelló"
"Vial Luis Miguel Sevillano 85
Cáceres, 92047","1990-01-06","+34895 695 242","Salamanca","WLCE2768650915137","GB","GB43YCIF5931384193635","Priego and Sons","05/26","3503383071574418","143","Insurance claims handler","Eduardo Francisco-Llobet"
"Avenida de Aurora Barbero 85 Piso 9 
Zamora, 53989","1919-08-20","+34 888136719","Castellón","QVKU0247387445587","GB","GB97VTST2244023202450","Acedo, Neira and Alcázar","10/28","4506558652813823","001","Dispensing optician","Daniela del Sastre"
"Cañada de Isabel Borrell 537 Puerta 0 
Alicante, 14434","1997-12-03","+34024 43 43 88","Valladolid","LZZW2152072383286","GB","GB68LXRL5230509566525","Reina and Sons","09/21","30383724055821","229","Museum education officer","Noelia Soledad Segarra Abad"
"Callejón Andrea Alonso 59 Piso 5 
Teruel, 89703","2009-04-26","+34 771 22 94 07","Badajoz","DQCK4337030899994","GB","GB90KWJC2700969576356","Lago LLC","02/21","6011440413553704","9531","Geochemist","Mohamed Figuerola Gracia"
"Callejón de Guillermo Parejo 2
Tarragona, 60088","1965-01-03","+34 352 91 37 67","Ciudad","FHME7705133106913","GB","GB41IMVY1001757019569","Melero, Andrade and Cerdá","06/28","5363122240830374","209","Research officer, government","Mercedes Asunción Capdevila Rosell"
"Pasadizo de Jordi Azcona 10 Apt. 35 
Burgos, 64763","1939-01-24","+34651 251 986","Cuenca","YKCO4233993083369","GB","GB40STNW7171314519249","Tamarit, Gracia and Atienza","06/27","4850216463264387","761","Ergonomist","Angela Yáñez-Giralt"
"Rambla de Aitor Elías 37 Puerta 5 
Huesca, 40139","1951-05-03","+34 101 75 42 37","Murcia","RLGQ4904025693694","GB","GB82FAOU7482734604692","Alba-Palma","09/26","4434189103235593870","840","Publishing copy","Jose Luis de Pera"
"Ronda Raul Galvez 10
Palencia, 04752","1979-07-14","+34054 711 344","Zaragoza","NQJC0512604591259","GB","GB73QCPQ4279600553390","Sierra PLC","11/28","5289181602966490","9204","Recruitment consultant","Daniela Ayuso Redondo"
"Ronda de Ángel Fajardo 98 Piso 5 
Valladolid, 14706","1954-06-01","+34 813114394","Segovia","LOPM6254522788858","GB","GB66DNJK6292975359488","Plaza, Guillen and Lamas","07/24","3510310833870975","275","Engineer, communications","Josep Piquer-Barrios"
"Calle de Mireia Castro 54 Puerta 5 
León, 18523","1939-12-06","+34 425 25 23 53","Cuenca","NUDX3531191152470","GB","GB97ONQH3208217521528","Salamanca-Polo","05/23","4963540150724","946","Chief Technology Officer","Beatriz Manuela Zorrilla Andrés"
"Camino Remedios Verdejo 10 Apt. 88 
Melilla, 85574","1974-10-11","+34370 443 077","Ávila","SETJ4934727738065","GB","GB02JHFR7530865906047","Serrano PLC","07/21","3578385833213615","048","Make","Sonia Peñalver"
"Cuesta María Azorin 725
Ciudad, 28945","2017-08-24","+34532 566 851","Castellón","IIJU6576769230299","GB","GB44EOUO9402693508304","Cervantes, Boix and Mármol","08/24","587875182764","4481","Passenger transport manager","Daniel Ferrández Hoz"
"Cuesta Ana Mora 15
Ceuta, 49916","1934-08-11","+34 663 274 696","Castellón","PAJN8651938636013","GB","GB81QVAT3771262632611","Jordán Inc","04/26","4155546529493428","231","Community arts worker","Remedios Arribas Gámez"
"Acceso de Lorena Baena 80
Zaragoza, 90069","1983-01-10","+34 329 79 11 17","Tarragona","ESOV7763773794049","GB","GB42DKSE0672473792303","Morante Group","09/22","180083561672583","668","Hotel manager","Antonio Fernando Alegria Salcedo"
"Acceso Sebastian Benavides 1
Vizcaya, 78776","1946-05-12","+34673 68 22 70","Huesca","DZZW6247442744873","GB","GB26OACX3193579910768","Almeida, Arranz and Barrera","09/20","180050797971733","7539","Community pharmacist","Jordi Batlle Alberto"
"Callejón Alberto Sarmiento 4 Piso 3 
Almería, 03902","1970-05-14","+34391 233 138","Soria","MAQK7028914794379","GB","GB53YQWX1388577075106","Martin, Baró and Bernal","12/24","5190600931529214","199","Physiotherapist","Gonzalo Prado Valbuena"
"Calle Lourdes Múñiz 82
Huelva, 59455","1925-01-26","+34276349209","Córdoba","KOMW7312218625820","GB","GB97UALZ3427459698015","Miguel-Cañete","03/22","6553875538467625","403","Diagnostic radiographer","Rafael Millán"
"Calle de Marc Abascal 66
Burgos, 56406","1928-02-27","+34 703781752","Navarra","PEMV1459882844709","GB","GB36DGLQ7082070529282","Cuervo Group","08/20","4987556642749746310","194","Musician","Samuel Nadal"
"Via Juana Corbacho 4 Piso 2 
Lugo, 26615","2011-12-21","+34 974110764","Girona","BDVA0033196845594","GB","GB68YYYT6688351934521","Cadenas LLC","07/26","5325864856630567","202","Secretary, company","Andrés Diego Mayo Blázquez"
"Ronda de Jose Manuel Molina 2
Soria, 85392","1970-08-20","+34866883284","Ciudad","SSIP3841908094622","GB","GB25PYNV2916239505652","Carreras, Alberdi and Giménez","12/21","30110336673679","489","Teacher, primary school","Pablo Córdoba Vaquero"
"Pasaje Alejandra Llorens 29 Apt. 18 
Zamora, 73751","1946-02-08","+34 081 96 68 49","Valencia","OHVC9135783846879","GB","GB66NUSE0848570384145","Jover, Heredia and Bosch","04/27","4813722741930880636","820","Film/video editor","Mercedes Izquierdo Ochoa"
"Pasaje de Claudia Marí 59
Málaga, 56750","1961-01-24","+34 141 761 790","Valencia","SWWE6023949140472","GB","GB19YWPT0830975912374","Bayona Group","10/27","6562151101685491","789","Administrator, arts","Vanesa Calzada Delgado"
"Plaza de Nicolás Fuertes 974 Piso 8 
Guipúzcoa, 70478","1912-11-13","+34893392364","Jaén","MURJ2802072404362","GB","GB31IKUX6437200260798","Ramón-Larrañaga","01/23","582797908701","659","Herbalist","Francisca Álamo Tenorio"
"Acceso de Lorena Nogués 25 Puerta 2 
Badajoz, 63602","1928-09-22","+34 106 087 135","Valencia","BIWT4089054210557","GB","GB32VFWH0875317781983","Tolosa, Sevillano and Garzón","01/28","38194408283072","146","Health and safety inspector","Jose Francisco Báez Borja"
"Ronda de Amparo Bernal 28 Puerta 6 
Navarra, 09892","2017-10-03","+34 953 19 53 66","Valladolid","GFLQ5544475954567","GB","GB11YYXO6271749864506","Palacios-Hoz","02/24","30058845424508","722","Printmaker","Milagros Antúnez Manjón"
"Acceso de Jorge Bermúdez 97 Puerta 6 
Lleida, 91889","1924-09-04","+34475 647 008","Tarragona","JHQP9914770016302","GB","GB46BIHA0730951139855","Río-Alba","04/19","213153119999167","346","Secondary school teacher","Esperanza Jaén Mora"
"Rambla de Carla Patiño 45
Ciudad, 69946","1989-08-26","+34 614 40 25 64","Burgos","WEYJ8353891207416","GB","GB34WYXG6067119025668","Ramírez Inc","09/24","4403695333444323","034","Actuary","Francisco Jose Mesa Salgado"
"C. Jose Carlos Domingo 305
Cantabria, 47769","1960-11-05","+34806323080","León","QVVT8231577072478","GB","GB92ULRN7504312000057","Sosa-Arribas","04/23","6502174080103826","224","Financial controller","Nerea Royo Elorza"
"Paseo Adrián Vilar 38 Piso 4 
Huelva, 27129","1908-11-10","+34335 07 00 11","Burgos","XGEJ6580097361883","GB","GB43ZEYL2913068635034","Tenorio and Sons","06/28","4240619425151506565","256","Multimedia specialist","Raul Marin-Lluch"
"Cuesta de Hugo Montalbán 46 Piso 4 
Zaragoza, 35189","1948-12-06","+34146 752 161","Ávila","OPCM7431365687070","GB","GB42GVSX6296764559690","Salas, Zaragoza and Montes","01/27","180065809107837","676","Barrister","Daniel Hernandez"
"Paseo de Cristian Alcalde 12 Piso 6 
Málaga, 95341","1961-08-27","+34863 00 18 12","Ciudad","KFSN5208428553994","GB","GB52QBSH1908723171707","Castillo-Verdú","11/19","3517669705536722","187","Designer, furniture","Juan Granados Durán"
"Acceso Ivan Morcillo 74
Burgos, 21490","1986-12-05","+34 438 71 48 27","Murcia","PGVS6452520041120","GB","GB79KKYM6472476251243","Casal, Nuñez and Borja","05/25","3591375692829448","723","Newspaper journalist","Victor Estrada Anguita"
"Glorieta de Alex Quirós 24 Piso 8 
Barcelona, 24973","1920-05-13","+34 069 20 54 85","Teruel","GKCS9461447871732","GB","GB09FTHR3149848167791","Gomez, Nieto and Casas","04/23","180028722941930","984","Education officer, community","Carolina Egea Echevarría"
"Rambla Pedro Vilar 25 Piso 3 
La Coruña, 90646","1990-11-08","+34 628 77 67 42","Asturias","DOIP7852243791453","GB","GB39ZUAF2404994620697","Benavente-Fernández","09/26","6527112723673665","134","Surveyor, building","David del Revilla"
"Paseo Victor Manuel Espada 10 Puerta 6 
Granada, 84031","1969-12-18","+34168 469 159","Melilla","JRKA7079032638742","GB","GB14KYYL4542596630302","Briones Group","09/28","30167886807578","637","Social worker","Julian Barriga-Aguilera"
"Rambla Luís Cámara 19 Piso 3 
Cuenca, 71184","2004-12-21","+34 652 10 75 05","Álava","CGBL2365583462713","GB","GB58EXSY9198617428271","Rivero-Hervás","11/23","372134447939841","387","Community development worker","Francisco Guardiola Llobet"
"Cañada Silvia Grande 9 Piso 1 
Palencia, 11903","1918-01-07","+34 952 701 209","León","CQJO9996550383417","GB","GB57PCFD5942310381759","Ródenas Ltd","03/26","4698060069641903","389","Sports administrator","Manuela Garcia"
"Camino Isabel Ródenas 46 Apt. 83 
Valladolid, 73017","2013-08-10","+34806268512","Murcia","YJKN1361694127226","GB","GB16MKEY4769054004490","Castelló Group","12/26","5155133409399079","571","Conservator, museum/gallery","Felix Andrade Palomares"
"Paseo Eduardo Coloma 56
Girona, 39910","2001-03-02","+34 248 697 419","Madrid","XIWF5010017208378","GB","GB83OOTI8339606088509","Girona, Angulo and Bautista","07/20","3556211206091204","124","Psychologist, occupational","Juan José Cañas Pulido"
"Cuesta Mireia Bustamante 66 Puerta 3 
Navarra, 02448","1971-12-29","+34 318420063","Ávila","JMTA2948008948642","GB","GB82DNHO7655524448837","Soto, Becerra and Cabezas","02/23","30107188199209","033","Musician","Anna Batlle Agullo"
"Alameda Julio Costa 60 Piso 5 
Asturias, 58704","1923-03-23","+34 488 70 25 87","Ourense","VXBN7587212339514","GB","GB62OZSO1791878711209","Olmedo, Lobato and Tomás","09/28","4264470638933208","405","Investment analyst","Jose Ignacio Fuster Torrents"
"Callejón Lorena Oliver 80 Piso 5 
Cuenca, 73735","2003-01-25","+34532369594","Navarra","IONW9797402051833","GB","GB16WYWB0666830926003","Carrera-Farré","01/23","3559435597723797","9950","Estate agent","Begoña de Hernando"
"Via Pedro Ortega 32
Sevilla, 64379","2002-10-12","+34648 963 229","Baleares","RZJC3602487956668","GB","GB20WXLT1649907470489","Iglesias, Azorin and Campillo","04/25","6540614239782834","571","Psychologist, forensic","Silvia Criado Niño"
"Callejón de Vanesa Comas 69 Puerta 7 
Alicante, 91728","1967-07-05","+34 194 11 50 03","Huelva","OIAB4301591457152","GB","GB30FKTK4564721446813","Roca Inc","10/26","4780059337041","777","Technical sales engineer","Carla Rios Priego"
"Rambla Manuela Belmonte 76
Huesca, 76831","1916-06-16","+34475 48 88 77","Ávila","UVBH3574997003667","GB","GB96BJWB4820944275030","Simó, Dalmau and Gutiérrez","06/20","4887623003424537","675","Community education officer","Juan Francisco Viña Aznar"
"Avenida Agustín Coronado 54 Piso 0 
Ciudad, 19143","1976-04-27","+34524645617","Ávila","PKSN6215298420039","GB","GB46CJOK5485050959188","Jordá, Mosquera and Sáez","03/25","4204756537647","478","Biomedical engineer","Juan Carlos Roberto Blázquez Toro"
"Glorieta de Josefina Casado 65
Salamanca, 35151","1962-10-13","+34996258279","Lleida","LCMT4997099158399","GB","GB58VJUA9339009763028","Pedro-Rodriguez","02/19","213129279948525","476","Surveyor, quantity","Javier Arcos"
"Paseo Salvador Romeu 1 Apt. 87 
La Coruña, 08684","1975-03-02","+34 815 49 81 12","Ceuta","CFOM1414942723350","GB","GB45XKRD9093234244485","Badía, Lago and Solé","07/27","213141206725785","535","Corporate investment banker","Magdalena Reyes Aguilera"
"Ronda de Marta Olivé 1 Puerta 9 
Albacete, 67027","1949-11-05","+34 899311670","Soria","PQXP7557751555756","GB","GB37UXPT6318350464652","Dávila, Barragán and Alarcón","12/28","5561781651807880","948","Civil engineer, contracting","Joan Serna-Diéguez"
"Rambla Santiago Barreda 226 Apt. 72 
Alicante, 88453","2012-11-26","+34249088072","Castellón","JKPQ1060301916513","GB","GB61BAAN6715517255436","Murillo-Aguiló","08/22","3502788745825833","908","Higher education lecturer","Beatriz Vélez Lozano"
"Pasadizo Sonia Rivero 78
Melilla, 80455","1996-11-04","+34730 33 45 29","Cuenca","JVHM2518027874603","GB","GB52HGCX1803798164577","Arias, Becerra and Pallarès","12/23","30287412736222","454","Medical technical officer","Juan José Guzman Bertrán"
"Acceso Eva Gutiérrez 56
Albacete, 44333","1942-07-14","+34 526 95 76 54","Murcia","HBTF5276912662548","GB","GB96AKBB8012269549110","Salvà-Coloma","11/26","378325858342772","718","Runner, broadcasting/film/video","Miguel Ruben Méndez Monreal"
"Ronda de Nerea Rico 26
Badajoz, 78679","1969-08-08","+34882 34 18 35","León","RSNL5575115174740","GB","GB64WPZU2586642266852","Amores Group","12/27","379325686190939","487","Pension scheme manager","Emilio Carpio Cabañas"
"Avenida de Rocio Mosquera 17 Puerta 0 
Segovia, 98703","1993-07-13","+34 110478253","Salamanca","JUIL3373898090857","GB","GB46EMPJ2432840128712","Pi, Iglesias and Planas","05/19","372181727752345","044","Interior and spatial designer","Ángel Jimenez Bustos"
"C. Alba Pera 7 Apt. 70 
Navarra, 98508","1928-02-08","+34200 17 73 09","Navarra","WCPS5771263700407","GB","GB53NSKN2791727908989","Collado, Hierro and Badía","12/28","213119395245757","970","Psychotherapist","Clara Belen Suarez Lerma"
"Cañada de Sofia Sanmartín 65 Piso 6 
Toledo, 04385","1923-07-22","+34 667256535","Baleares","YCDA6509391227834","GB","GB13HUYW8292570185594","Santana Inc","04/27","349363004272995","061","Regulatory affairs officer","Irene del Serna"
"Pasaje Jesús Rodriguez 10
Vizcaya, 22457","1976-12-22","+34165 51 50 84","Ciudad","IMJZ1524796342306","GB","GB52EVGX3254697588497","Barriga LLC","08/27","30510604622573","637","Educational psychologist","Manuela Torrecilla-Narváez"
"Paseo de Jose Ramon Campos 54 Puerta 4 
La Coruña, 41677","2014-01-14","+34 311 385 648","Castellón","MQCD6845317652345","GB","GB82CYFU9284336933954","Linares, Verdejo and Llorens","03/25","4672614390785407","818","Marine scientist","Martin Duarte"
"Pasaje Cristina Carvajal 932 Apt. 37 
León, 64711","1930-12-05","+34709590910","Cáceres","TENT5005265690520","GB","GB38HYQF1120559991188","Gras, Peralta and Galán","05/20","346893781156501","2065","Geophysical data processor","Jaime Arcos-Narváez"
"Camino de Domingo Vélez 83 Puerta 5 
Santa Cruz de Tenerife, 66372","1965-09-01","+34 570 90 53 02","Murcia","DAOQ7331999719251","GB","GB15AYNU2940151678382","Salazar, Hernández and Cabo","06/27","676166341641","4518","Commercial art gallery manager","Jose Miguel Diego Gonzalo"
"Cañada de Albert Gaya 51
Ourense, 38373","1930-02-14","+34 496 64 41 30","Cuenca","UIST2442702653253","GB","GB34ZIOA8274794877655","Tovar-Gimeno","06/26","676223707206","826","Microbiologist","Antonia Garriga"
"Glorieta de Margarita Cerdá 2
Baleares, 64901","2007-02-07","+34633 108 292","Baleares","XEMA7608156489000","GB","GB10PPLV1568377101775","Arellano, Porta and Miralles","09/22","346549771174314","718","Publishing rights manager","Victor Manuel Rebollo Bru"
"C. Alvaro Alemán 21 Apt. 11 
Valladolid, 18079","1967-04-22","+34 208 33 12 99","Baleares","DOGU0807040051130","GB","GB87HRGR9661776847558","Rey Inc","01/21","3544717761554019","359","Conference centre manager","Juan Manuel Llorens Gracia"
"Acceso Pilar Clavero 71 Puerta 4 
Melilla, 01437","1934-08-18","+34 347438380","Sevilla","UXYJ7720300153596","GB","GB70WTHX9168706210330","Cañas, Agustín and Román","10/26","630460825254","324","Programmer, systems","Mónica Águila Ayuso"
"Avenida Begoña Bosch 73 Apt. 26 
Álava, 51236","1906-02-07","+34 347 982 487","Salamanca","ICCL7748710260824","GB","GB64WGVC5954335391505","Gracia-Bayo","07/24","36040432674889","844","Building surveyor","Juan José Carrillo Clemente"
"Calle Remedios Novoa 33 Puerta 7 
Guipúzcoa, 62603","1947-09-11","+34344 797 462","Segovia","LRHN4154168371767","GB","GB32ABQD1720407005926","Albero Group","03/28","3519655704032993","995","Farm manager","Daniel Palacio Carbó"
"Cuesta de Ismael Cal 43 Piso 7 
Zamora, 47982","2018-06-17","+34 280902467","Lleida","YUIK9179051263716","GB","GB07ZNXV0835260480513","Cortes LLC","07/19","6531172410423992","129","Librarian, public","Juana Estrada Juárez"
"Rambla de Yolanda Perez 81
Melilla, 25186","1970-12-19","+34211 17 31 86","La Coruña","CAPH2641722052912","GB","GB85NNKQ7794474426836","Zamora, Armengol and Jove","07/26","639084523856","942","Legal secretary","Miriam Donoso Iglesias"
"Calle Juana Rios 91 Apt. 22 
Tarragona, 26064","1969-10-13","+34699 58 09 06","Valladolid","KBII7117806716467","GB","GB82OFJL2348281807307","Sancho-Fiol","04/22","6011870826296725","387","Accommodation manager","Montserrat Figueras Roma"
"Cañada de Rafael Lasa 28 Puerta 2 
Palencia, 93144","1979-01-13","+34 450242243","Lleida","NFKR3455164704739","GB","GB69DSKJ9946800688134","Márquez LLC","04/20","4885928111995027","333","Engineer, communications","Gloria Celia Arcos Cases"
"Acceso Sebastian Yáñez 8 Piso 6 
Cuenca, 60271","1985-11-24","+34661 01 27 28","Salamanca","QHYK1192424036361","GB","GB09AXKU5708617177276","Berrocal, Abad and Palau","09/21","4215453930418367","272","Psychiatrist","Verónica Eugenia Mascaró Segura"
